Session will be spooled to /home/appuser/query5.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  stressId,
  MAX(stressLevel) AS max_stress
FROM stressStream
  WINDOW SESSION (3 SECONDS)
  GROUP BY stressId
  EMIT CHANGES;
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+
|WINDOW_START                                        |WINDOW_END                                          |STRESSID                                            |MAX_STRESS                                          |
|2024-06-05T15:52:43.000                             |2024-06-05T15:52:43.000                             |3                                                   |3                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:44.000                             |1                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:45.000                             |1                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:43.000                             |2024-06-05T15:52:46.000                             |3                                                   |8                                                   |
|2024-06-05T15:52:47.000                             |2024-06-05T15:52:47.000                             |2                                                   |2                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:48.000                             |1                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:50.000                             |1                                                   |8                                                   |
|2024-06-05T15:52:51.000                             |2024-06-05T15:52:52.000                             |2                                                   |6                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:54.000                             |1                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:51.000                             |2024-06-05T15:52:55.000                             |2                                                   |7                                                   |
|2024-06-05T15:52:56.000                             |2024-06-05T15:52:56.000                             |3                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:33.000                             |2024-06-05T15:52:57.000                             |1                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:51.000                             |2024-06-05T15:52:59.000                             |2                                                   |7                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |2                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:52:51.000                             |2024-06-05T15:53:00.000                             |2                                                   |7                                                   |
|2024-06-05T15:53:01.000                             |2024-06-05T15:53:01.000                             |1                                                   |3                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:53:01.000                             |2024-06-05T15:53:03.000                             |1                                                   |5                                                   |
|2024-06-05T15:53:04.000                             |2024-06-05T15:53:04.000                             |3                                                   |6                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |1                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:53:01.000                             |2024-06-05T15:53:05.000                             |1                                                   |6                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:53:04.000                             |2024-06-05T15:53:07.000                             |3                                                   |8                                                   |
|<TOMBSTONE>                                         |<TOMBSTONE>                                         |3                                                   |<TOMBSTONE>                                         |
|2024-06-05T15:53:04.000                             |2024-06-05T15:53:08.000                             |3                                                   |8                                                   |
|2024-06-05T15:53:09.000                             |2024-06-05T15:53:09.000                             |2                                                   |6                                                   |
Query terminated

ksql> spool off;
