Session will be spooled to /home/appuser/query3.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  avg(stressLevel) as avg_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 1 SECOND)
  EMIT CHANGES;
+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+
|WINDOW_START                                                             |WINDOW_END                                                               |AVG_STRESS                                                               |
|2024-06-03T15:37:49.000                                                  |2024-06-03T15:37:59.000                                                  |5.3                                                                      |
|2024-06-03T15:37:50.000                                                  |2024-06-03T15:38:00.000                                                  |4.8                                                                      |
|2024-06-03T15:37:51.000                                                  |2024-06-03T15:38:01.000                                                  |5.0                                                                      |
|2024-06-03T15:37:52.000                                                  |2024-06-03T15:38:02.000                                                  |5.0                                                                      |
|2024-06-03T15:37:53.000                                                  |2024-06-03T15:38:03.000                                                  |4.7                                                                      |
|2024-06-03T15:37:54.000                                                  |2024-06-03T15:38:04.000                                                  |4.4                                                                      |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |4.5                                                                      |
|2024-06-03T15:37:56.000                                                  |2024-06-03T15:38:06.000                                                  |4.2                                                                      |
|2024-06-03T15:37:57.000                                                  |2024-06-03T15:38:07.000                                                  |4.8                                                                      |
|2024-06-03T15:37:58.000                                                  |2024-06-03T15:38:08.000                                                  |4.7                                                                      |
|2024-06-03T15:37:59.000                                                  |2024-06-03T15:38:09.000                                                  |4.5                                                                      |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |4.6                                                                      |
|2024-06-03T15:38:01.000                                                  |2024-06-03T15:38:11.000                                                  |4.9                                                                      |
|2024-06-03T15:38:02.000                                                  |2024-06-03T15:38:12.000                                                  |4.888888888888889                                                        |
|2024-06-03T15:38:03.000                                                  |2024-06-03T15:38:13.000                                                  |5.25                                                                     |
|2024-06-03T15:38:04.000                                                  |2024-06-03T15:38:14.000                                                  |5.714285714285714                                                        |
|2024-06-03T15:38:05.000                                                  |2024-06-03T15:38:15.000                                                  |5.333333333333333                                                        |
|2024-06-03T15:38:06.000                                                  |2024-06-03T15:38:16.000                                                  |5.4                                                                      |
|2024-06-03T15:38:07.000                                                  |2024-06-03T15:38:17.000                                                  |4.75                                                                     |
|2024-06-03T15:38:08.000                                                  |2024-06-03T15:38:18.000                                                  |5.0                                                                      |
|2024-06-03T15:38:09.000                                                  |2024-06-03T15:38:19.000                                                  |5.0                                                                      |
|2024-06-03T15:38:10.000                                                  |2024-06-03T15:38:20.000                                                  |8.0                                                                      |
Query terminated
