Session will be spooled to /home/appuser/query2.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  avg(stressLevel) as avg_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 5 SECONDS)
  EMIT CHANGES;
+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+
|WINDOW_START                                                             |WINDOW_END                                                               |AVG_STRESS                                                               |
|2024-06-03T15:37:50.000                                                  |2024-06-03T15:38:00.000                                                  |5.0                                                                      |
|2024-06-03T15:37:50.000                                                  |2024-06-03T15:38:00.000                                                  |5.0                                                                      |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |5.0                                                                      |
|2024-06-03T15:37:50.000                                                  |2024-06-03T15:38:00.000                                                  |5.222222222222222                                                        |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |5.5                                                                      |
|2024-06-03T15:37:50.000                                                  |2024-06-03T15:38:00.000                                                  |4.8                                                                      |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |4.666666666666667                                                        |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |5.0                                                                      |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |4.375                                                                    |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |4.0                                                                      |
|2024-06-03T15:37:55.000                                                  |2024-06-03T15:38:05.000                                                  |4.5                                                                      |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |4.4                                                                      |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |5.0                                                                      |
|2024-06-03T15:38:05.000                                                  |2024-06-03T15:38:15.000                                                  |6.5                                                                      |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |4.888888888888889                                                        |
|2024-06-03T15:38:05.000                                                  |2024-06-03T15:38:15.000                                                  |5.5                                                                      |
|2024-06-03T15:38:00.000                                                  |2024-06-03T15:38:10.000                                                  |4.6                                                                      |
|2024-06-03T15:38:05.000                                                  |2024-06-03T15:38:15.000                                                  |5.333333333333333                                                        |
|2024-06-03T15:38:10.000                                                  |2024-06-03T15:38:20.000                                                  |8.0                                                                      |
Query terminated

ksql> SPOOL OFF;
