Session will be spooled to /home/appuser/query6.txt
Enter SPOOL OFF to disable

ksql> SELECT
  from_unixtime(WINDOWSTART) as window_start,
  from_unixtime(WINDOWEND) as window_end,
  stressId,
  max(stressLevel) as max_stress
FROM stressStream
  WINDOW HOPPING (SIZE 10 SECONDS, ADVANCE BY 1 SECOND)
  GROUP BY stressId
  EMIT CHANGES;
+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+------------------------------------------------------+
|WINDOW_START                                          |WINDOW_END                                            |STRESSID                                              |MAX_STRESS                                            |
|2024-06-03T15:37:11.000                               |2024-06-03T15:37:21.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:12.000                               |2024-06-03T15:37:22.000                               |3                                                     |8                                                     |
|2024-06-03T15:37:11.000                               |2024-06-03T15:37:21.000                               |2                                                     |6                                                     |
|2024-06-03T15:37:12.000                               |2024-06-03T15:37:22.000                               |2                                                     |6                                                     |
|2024-06-03T15:37:13.000                               |2024-06-03T15:37:23.000                               |2                                                     |6                                                     |
|2024-06-03T15:37:13.000                               |2024-06-03T15:37:23.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:14.000                               |2024-06-03T15:37:24.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:14.000                               |2024-06-03T15:37:24.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:15.000                               |2024-06-03T15:37:25.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:16.000                               |2024-06-03T15:37:26.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:17.000                               |2024-06-03T15:37:27.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:18.000                               |2024-06-03T15:37:28.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:19.000                               |2024-06-03T15:37:29.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:20.000                               |2024-06-03T15:37:30.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:21.000                               |2024-06-03T15:37:31.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:15.000                               |2024-06-03T15:37:25.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:16.000                               |2024-06-03T15:37:26.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:17.000                               |2024-06-03T15:37:27.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:18.000                               |2024-06-03T15:37:28.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:17.000                               |2024-06-03T15:37:27.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:18.000                               |2024-06-03T15:37:28.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:19.000                               |2024-06-03T15:37:29.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:19.000                               |2024-06-03T15:37:29.000                               |3                                                     |4                                                     |
|2024-06-03T15:37:20.000                               |2024-06-03T15:37:30.000                               |3                                                     |3                                                     |
|2024-06-03T15:37:21.000                               |2024-06-03T15:37:31.000                               |3                                                     |3                                                     |
|2024-06-03T15:37:22.000                               |2024-06-03T15:37:32.000                               |3                                                     |3                                                     |
|2024-06-03T15:37:20.000                               |2024-06-03T15:37:30.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:21.000                               |2024-06-03T15:37:31.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:22.000                               |2024-06-03T15:37:32.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:23.000                               |2024-06-03T15:37:33.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:24.000                               |2024-06-03T15:37:34.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:25.000                               |2024-06-03T15:37:35.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:22.000                               |2024-06-03T15:37:32.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:23.000                               |2024-06-03T15:37:33.000                               |2                                                     |7                                                     |
|2024-06-03T15:37:24.000                               |2024-06-03T15:37:34.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:25.000                               |2024-06-03T15:37:35.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:26.000                               |2024-06-03T15:37:36.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:27.000                               |2024-06-03T15:37:37.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:28.000                               |2024-06-03T15:37:38.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:29.000                               |2024-06-03T15:37:39.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:30.000                               |2024-06-03T15:37:40.000                               |2                                                     |2                                                     |
|2024-06-03T15:37:23.000                               |2024-06-03T15:37:33.000                               |3                                                     |3                                                     |
|2024-06-03T15:37:24.000                               |2024-06-03T15:37:34.000                               |3                                                     |6                                                     |
|2024-06-03T15:37:25.000                               |2024-06-03T15:37:35.000                               |3                                                     |6                                                     |
|2024-06-03T15:37:26.000                               |2024-06-03T15:37:36.000                               |3                                                     |6                                                     |
|2024-06-03T15:37:26.000                               |2024-06-03T15:37:36.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:27.000                               |2024-06-03T15:37:37.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:28.000                               |2024-06-03T15:37:38.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:29.000                               |2024-06-03T15:37:39.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:27.000                               |2024-06-03T15:37:37.000                               |3                                                     |6                                                     |
|2024-06-03T15:37:28.000                               |2024-06-03T15:37:38.000                               |3                                                     |6                                                     |
|2024-06-03T15:37:29.000                               |2024-06-03T15:37:39.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:30.000                               |2024-06-03T15:37:40.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:31.000                               |2024-06-03T15:37:41.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:32.000                               |2024-06-03T15:37:42.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:30.000                               |2024-06-03T15:37:40.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:31.000                               |2024-06-03T15:37:41.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:32.000                               |2024-06-03T15:37:42.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:33.000                               |2024-06-03T15:37:43.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:31.000                               |2024-06-03T15:37:41.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:32.000                               |2024-06-03T15:37:42.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:33.000                               |2024-06-03T15:37:43.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:34.000                               |2024-06-03T15:37:44.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:35.000                               |2024-06-03T15:37:45.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:36.000                               |2024-06-03T15:37:46.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:37.000                               |2024-06-03T15:37:47.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:33.000                               |2024-06-03T15:37:43.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:34.000                               |2024-06-03T15:37:44.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:34.000                               |2024-06-03T15:37:44.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:35.000                               |2024-06-03T15:37:45.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:35.000                               |2024-06-03T15:37:45.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:36.000                               |2024-06-03T15:37:46.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:37.000                               |2024-06-03T15:37:47.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:38.000                               |2024-06-03T15:37:48.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:39.000                               |2024-06-03T15:37:49.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:40.000                               |2024-06-03T15:37:50.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:36.000                               |2024-06-03T15:37:46.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:37.000                               |2024-06-03T15:37:47.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:38.000                               |2024-06-03T15:37:48.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:38.000                               |2024-06-03T15:37:48.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:39.000                               |2024-06-03T15:37:49.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:39.000                               |2024-06-03T15:37:49.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:40.000                               |2024-06-03T15:37:50.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:41.000                               |2024-06-03T15:37:51.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:42.000                               |2024-06-03T15:37:52.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:43.000                               |2024-06-03T15:37:53.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:40.000                               |2024-06-03T15:37:50.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:41.000                               |2024-06-03T15:37:51.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:42.000                               |2024-06-03T15:37:52.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:41.000                               |2024-06-03T15:37:51.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:42.000                               |2024-06-03T15:37:52.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:43.000                               |2024-06-03T15:37:53.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:44.000                               |2024-06-03T15:37:54.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:43.000                               |2024-06-03T15:37:53.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:44.000                               |2024-06-03T15:37:54.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:45.000                               |2024-06-03T15:37:55.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:44.000                               |2024-06-03T15:37:54.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:45.000                               |2024-06-03T15:37:55.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:46.000                               |2024-06-03T15:37:56.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:47.000                               |2024-06-03T15:37:57.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:48.000                               |2024-06-03T15:37:58.000                               |1                                                     |5                                                     |
|2024-06-03T15:37:45.000                               |2024-06-03T15:37:55.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:46.000                               |2024-06-03T15:37:56.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:46.000                               |2024-06-03T15:37:56.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:47.000                               |2024-06-03T15:37:57.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:48.000                               |2024-06-03T15:37:58.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:49.000                               |2024-06-03T15:37:59.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:47.000                               |2024-06-03T15:37:57.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:48.000                               |2024-06-03T15:37:58.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:49.000                               |2024-06-03T15:37:59.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:50.000                               |2024-06-03T15:38:00.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:51.000                               |2024-06-03T15:38:01.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:52.000                               |2024-06-03T15:38:02.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:53.000                               |2024-06-03T15:38:03.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:54.000                               |2024-06-03T15:38:04.000                               |3                                                     |7                                                     |
|2024-06-03T15:37:55.000                               |2024-06-03T15:38:05.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:49.000                               |2024-06-03T15:37:59.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:50.000                               |2024-06-03T15:38:00.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:51.000                               |2024-06-03T15:38:01.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:52.000                               |2024-06-03T15:38:02.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:50.000                               |2024-06-03T15:38:00.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:51.000                               |2024-06-03T15:38:01.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:52.000                               |2024-06-03T15:38:02.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:53.000                               |2024-06-03T15:38:03.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:53.000                               |2024-06-03T15:38:03.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:54.000                               |2024-06-03T15:38:04.000                               |1                                                     |7                                                     |
|2024-06-03T15:37:54.000                               |2024-06-03T15:38:04.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:55.000                               |2024-06-03T15:38:05.000                               |2                                                     |8                                                     |
|2024-06-03T15:37:56.000                               |2024-06-03T15:38:06.000                               |2                                                     |5                                                     |
|2024-06-03T15:37:57.000                               |2024-06-03T15:38:07.000                               |2                                                     |5                                                     |
|2024-06-03T15:37:55.000                               |2024-06-03T15:38:05.000                               |1                                                     |8                                                     |
|2024-06-03T15:37:56.000                               |2024-06-03T15:38:06.000                               |1                                                     |8                                                     |
|2024-06-03T15:37:56.000                               |2024-06-03T15:38:06.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:57.000                               |2024-06-03T15:38:07.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:58.000                               |2024-06-03T15:38:08.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:59.000                               |2024-06-03T15:38:09.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:00.000                               |2024-06-03T15:38:10.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:01.000                               |2024-06-03T15:38:11.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:02.000                               |2024-06-03T15:38:12.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:03.000                               |2024-06-03T15:38:13.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:04.000                               |2024-06-03T15:38:14.000                               |3                                                     |5                                                     |
|2024-06-03T15:38:05.000                               |2024-06-03T15:38:15.000                               |3                                                     |5                                                     |
|2024-06-03T15:37:57.000                               |2024-06-03T15:38:07.000                               |1                                                     |8                                                     |
|2024-06-03T15:37:58.000                               |2024-06-03T15:38:08.000                               |1                                                     |8                                                     |
|2024-06-03T15:37:59.000                               |2024-06-03T15:38:09.000                               |1                                                     |8                                                     |
|2024-06-03T15:37:58.000                               |2024-06-03T15:38:08.000                               |2                                                     |5                                                     |
|2024-06-03T15:37:59.000                               |2024-06-03T15:38:09.000                               |2                                                     |5                                                     |
|2024-06-03T15:38:00.000                               |2024-06-03T15:38:10.000                               |2                                                     |5                                                     |
|2024-06-03T15:38:00.000                               |2024-06-03T15:38:10.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:01.000                               |2024-06-03T15:38:11.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:02.000                               |2024-06-03T15:38:12.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:03.000                               |2024-06-03T15:38:13.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:04.000                               |2024-06-03T15:38:14.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:05.000                               |2024-06-03T15:38:15.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:06.000                               |2024-06-03T15:38:16.000                               |1                                                     |8                                                     |
|2024-06-03T15:38:07.000                               |2024-06-03T15:38:17.000                               |1                                                     |2                                                     |
|2024-06-03T15:38:08.000                               |2024-06-03T15:38:18.000                               |1                                                     |2                                                     |
|2024-06-03T15:38:09.000                               |2024-06-03T15:38:19.000                               |1                                                     |2                                                     |
|2024-06-03T15:38:01.000                               |2024-06-03T15:38:11.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:02.000                               |2024-06-03T15:38:12.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:03.000                               |2024-06-03T15:38:13.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:04.000                               |2024-06-03T15:38:14.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:05.000                               |2024-06-03T15:38:15.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:06.000                               |2024-06-03T15:38:16.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:07.000                               |2024-06-03T15:38:17.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:08.000                               |2024-06-03T15:38:18.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:09.000                               |2024-06-03T15:38:19.000                               |2                                                     |8                                                     |
|2024-06-03T15:38:10.000                               |2024-06-03T15:38:20.000                               |2                                                     |8                                                     |
Query terminated

ksql> SPOOL OFF;
